"unchecked
​",9307,[DLRY-1091] Anexia hardware delivery,S-4,,Lucian Cioltan,,Free Temp Storage,,02-Sep-2023 01:29:17
"unchecked
​",8968,퀵 수령,S-4,,문민주,,Completed,,24-Aug-2023 08:29:11
"unchecked
​",8628,부수자재 보관 요청,S-4,,문민주,,Completed,,16-Aug-2023 17:58:12
"unchecked
​",8573,[Email][PCCW] One box of 92 x optics,S-4,,,,Charge Temp Storage,,15-Aug-2023 14:05:56
"unchecked
​",8457,장비배송,S-4,,문민주,,Completed,,10-Aug-2023 12:55:13
"unchecked
​",7639,[Email][PCCW] 3 Cartons (SFP),S-4,,usnoc@pccwglobal.com,,Completed,,20-Jul-2023 11:31:40
"unchecked
​",7603,Lumen Korea Shipment going to SEL1,S-3,,박용서,,Completed,,19-Jul-2023 11:29:55
"unchecked
​",7415,Receive cable,S-4,,Hwang Nam Du,,Completed,,13-Jul-2023 13:11:33
"unchecked
​",7397,[Lumen Korea] Juniper Module,S-4,,박용서,,Completed,,13-Jul-2023 10:38:20
"unchecked
​",7141,소모품 박스 보관 요청(퀵배송),S-4,,문민주,,Cancelled,,06-Jul-2023 16:24:21
"unchecked
​",7116,Receive fiber cables,S-4,,Hwang Nam Du,,Completed,,06-Jul-2023 09:45:06
"unchecked
​",7037,SEL1 BMS용 네트워크 장비,S-4,,DEK SEL1,,Completed,,04-Jul-2023 12:17:17
"unchecked
​",6985,Receive AC power cables,S-4,,정진환 부장,,Completed,,03-Jul-2023 14:16:57
"unchecked
​",6472,장비 보관요청,S-4,,문민주,,Completed,,20-Jun-2023 14:47:23
"unchecked
​",6448,Lumen Korea Shipment going to SEL1,S-4,,박용서,,Completed,,20-Jun-2023 12:03:58
"unchecked
​",6190,Receive part for Syniverse,S-4,,정진환 부장,,Completed,,13-Jun-2023 16:41:39
"unchecked
​",6041,케이블 배송건,S-4,,문민주,,Completed,,09-Jun-2023 09:57:44
"unchecked
​",5484,헥토파이낸셜 철제선반반입,S-4,,박태호,,Completed,,25-May-2023 14:22:50
"unchecked
​",5231,[TEST] Shipment Ticket - Outbound - SEL1 - with Loading Dock,S-4,,DEK Cross Connect,,Cancelled,,18-May-2023 18:48:51
"unchecked
​",5230,[TEST] Shipment Inbound - 20230518001 with No Loading Dock,S-4,,DEK Cross Connect,,Cancelled,,18-May-2023 18:46:58
"unchecked
​",4935,자재보관 요청건(10x10cm 덕트 20개),S-4,,문민주,,Completed,,12-May-2023 11:14:59
"unchecked
​",4798,shipping for Syniverse (4F rack SEL1-4-1-S-010-C206 (4F-M16)),S-4,,Hwang Nam Du,,Completed,,09-May-2023 14:09:01
"unchecked
​",4797,shipping for Syniverse (4F rack SEL1-4-1-S-010-C206 (4F-M16)),S-4,,Hwang Nam Du,,Cancelled,,09-May-2023 14:09:01
"unchecked
​",4261,[TEST] Shipment Outbound (20230420-001),S-4,,Rolland Wong (TEST),,Cancelled,,20-Apr-2023 20:27:24
"unchecked
​",3924,SFP module shipping for Syniverse (4F rack SEL1-4-1-S-010-C206 (4F-M16)),S-4,,정진환 부장,,Completed,,11-Apr-2023 15:04:02
,,,,,,,,,
